full_scorecard,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
https://stats.espncricinfo.com/ci/engine/match/1304047.html,Chennai Super Kings,Kolkata Knight Riders,131.0,133.0,Kolkata Knight Riders,Field,KKR,6 wickets,Umesh Yadav,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304048.html,Mumbai Indians,Delhi Capitals,177.0,179.0,Delhi Capitals,Field,Capitals,4 wickets,Kuldeep Yadav,Brabourne Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304049.html,Royal Challengers Bangalore,Punjab Kings,205.0,208.0,Punjab Kings,Field,Punjab,5 wickets,Odean Smith,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304050.html,Lucknow Super Giants,Gujarat Titans,158.0,161.0,Gujarat Titans,Field,Titans,5 wickets,Mohammed Shami,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304051.html,Rajasthan Royals,Sunrisers Hyderabad,210.0,149.0,Sunrisers Hyderabad,Field,Royals,61 runs,Sanju Samson,Maharashtra Cricket Association Stadium,Pune
https://stats.espncricinfo.com/ci/engine/match/1304052.html,Kolkata Knight Riders,Royal Challengers Bangalore,128.0,132.0,Royal Challengers Bangalore,Field,RCB,3 wickets,Wanindu Hasaranga de Silva,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304053.html,Chennai Super Kings,Lucknow Super Giants,210.0,211.0,Lucknow Super Giants,Field,Super,6 wickets,Evin Lewis,Brabourne Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304054.html,Punjab Kings,Kolkata Knight Riders,137.0,141.0,Kolkata Knight Riders,Field,KKR,6 wickets,Umesh Yadav,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304055.html,Rajasthan Royals,Mumbai Indians,193.0,170.0,Mumbai Indians,Field,Royals,23 runs,Jos Buttler,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304056.html,Gujarat Titans,Delhi Capitals,171.0,157.0,Delhi Capitals,Field,Titans,14 runs,Lockie Ferguson,Maharashtra Cricket Association Stadium,Pune
https://stats.espncricinfo.com/ci/engine/match/1304057.html,Punjab Kings,Chennai Super Kings,180.0,126.0,Chennai Super Kings,Field,Punjab,54 runs,Liam Livingstone,Brabourne Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304058.html,Lucknow Super Giants,Sunrisers Hyderabad,169.0,157.0,Sunrisers Hyderabad,Field,Super,12 runs,Avesh Khan,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304059.html,Rajasthan Royals,Royal Challengers Bangalore,169.0,173.0,Royal Challengers Bangalore,Field,RCB,4 wickets,Dinesh Karthik,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304060.html,Mumbai Indians,Kolkata Knight Riders,161.0,162.0,Kolkata Knight Riders,Field,KKR,5 wickets,Pat Cummins,Maharashtra Cricket Association Stadium,Pune
https://stats.espncricinfo.com/ci/engine/match/1304061.html,Delhi Capitals,Lucknow Super Giants,149.0,155.0,Lucknow Super Giants,Field,Super,6 wickets,Quinton de Kock,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304062.html,Punjab Kings,Gujarat Titans,189.0,190.0,Gujarat Titans,Field,Titans,6 wickets,Shubman Gill,Brabourne Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304063.html,Chennai Super Kings,Sunrisers Hyderabad,154.0,155.0,Sunrisers Hyderabad,Field,Sunrisers,8 wickets,Abhishek Sharma,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304064.html,Mumbai Indians,Royal Challengers Bangalore,151.0,152.0,Royal Challengers Bangalore,Field,RCB,7 wickets,Anuj Rawat,Maharashtra Cricket Association Stadium,Pune
https://stats.espncricinfo.com/ci/engine/match/1304065.html,Delhi Capitals,Kolkata Knight Riders,215.0,171.0,Kolkata Knight Riders,Field,Capitals,44 runs,Kuldeep Yadav,Brabourne Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304066.html,Rajasthan Royals,Lucknow Super Giants,165.0,162.0,Lucknow Super Giants,Field,Royals,3 runs,Yuzvendra Chahal,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304067.html,Gujarat Titans,Sunrisers Hyderabad,162.0,168.0,Sunrisers Hyderabad,Field,Sunrisers,8 wickets,Kane Williamson,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304068.html,Chennai Super Kings,Royal Challengers Bangalore,216.0,193.0,Royal Challengers Bangalore,Field,Super,23 runs,Shivam Dube,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304069.html,Punjab Kings,Mumbai Indians,198.0,186.0,Mumbai Indians,Field,Punjab,12 runs,Mayank Agarwal,Maharashtra Cricket Association Stadium,Pune
https://stats.espncricinfo.com/ci/engine/match/1304070.html,Gujarat Titans,Rajasthan Royals,192.0,155.0,Rajasthan Royals,Field,Titans,37 runs,Hardik Pandya,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304071.html,Kolkata Knight Riders,Sunrisers Hyderabad,175.0,176.0,Sunrisers Hyderabad,Field,Sunrisers,7 wickets,Rahul Tripathi,Brabourne Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304072.html,Lucknow Super Giants,Mumbai Indians,199.0,181.0,Mumbai Indians,Field,Super,18 runs,KL Rahul,Brabourne Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304073.html,Royal Challengers Bangalore,Delhi Capitals,189.0,173.0,Delhi Capitals,Field,RCB,16 runs,Dinesh Karthik,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304074.html,Punjab Kings,Sunrisers Hyderabad,151.0,152.0,Sunrisers Hyderabad,Field,Sunrisers,7 wickets,Umran Malik,Dr DY Patil Sports Academy,Mumbai
